symbol,epic,type,expiry,marginFactor,minDealSize
"0001","0001","-","-","",""
"0002","0002","-","-","",""
"0003","0003","-","-","",""
"0004","0004","-","-","",""
"0005","0005","-","-","",""
"0011","0011","-","-","",""
"0012","0012","-","-","",""
"0014","0014","-","-","",""
"0016","0016","-","-","",""
"0017","0017","-","-","",""
"0019","0019","-","-","",""
"0023","0023","-","-","",""
"0027","0027","-","-","",""
"0066","0066","-","-","",""
"0069","0069","-","-","",""
"0083","0083","-","-","",""
"0135","0135","-","-","",""
"0144","0144","-","-","",""
"0151","0151","-","-","",""
"0168","0168","-","-","",""
"0175","0175","-","-","",""
"0177","0177","-","-","",""
"0220","0220","-","-","",""
"0241","0241","-","-","",""
"0257","0257","-","-","",""
"0267","0267","-","-","",""
"0270","0270","-","-","",""
"0288","0288","-","-","",""
"0291","0291","-","-","",""
"0293","0293","-","-","",""
"0316","0316","-","-","",""
"0338","0338","-","-","",""
"0347","0347","-","-","",""
"0358","0358","-","-","",""
"0371","0371","-","-","",""
"0384","0384","-","-","",""
"0386","0386","-","-","",""
"0388","0388","-","-","",""
"0390","0390","-","-","",""
"0392","0392","-","-","",""
"0489","0489","-","-","",""
"0522","0522","-","-","",""
"0656","0656","-","-","",""
"0659","0659","-","-","",""
"0669","0669","-","-","",""
"0670","0670","-","-","",""
"0683","0683","-","-","",""
"0688","0688","-","-","",""
"0696","0696","-","-","",""
"0700","0700","-","-","",""
"0753","0753","-","-","",""
"0763","0763","-","-","",""
"0772","0772","-","-","",""
"0813","0813","-","-","",""
"0823","0823","-","-","",""
"0857","0857","-","-","",""
"0874","0874","-","-","",""
"0880","0880","-","-","",""
"0902","0902","-","-","",""
"0914","0914","-","-","",""
"0939","0939","-","-","",""
"0960","0960","-","-","",""
"0966","0966","-","-","",""
"0981","0981","-","-","",""
"0991","0991","-","-","",""
"0992","0992","-","-","",""
"0998","0998","-","-","",""
"0XUSD","0XUSD","-","-","",""
"1024","1024","-","-","",""
"1038","1038","-","-","",""
"1044","1044","-","-","",""
"1055","1055","-","-","",""
"1071","1071","-","-","",""
"1088","1088","-","-","",""
"1093","1093","-","-","",""
"1099","1099","-","-","",""
"1109","1109","-","-","",""
"1113","1113","-","-","",""
"1122","1122","-","-","",""
"1128","1128","-","-","",""
"1169","1169","-","-","",""
"1171","1171","-","-","",""
"1177","1177","-","-","",""
"1193","1193","-","-","",""
"1208","1208","-","-","",""
"1211","1211","-","-","",""
"1288","1288","-","-","",""
"1299","1299","-","-","",""
"1313","1313","-","-","",""
"1332","1332","-","-","",""
"1357","1357","-","-","",""
"1359","1359","-","-","",""
"1398","1398","-","-","",""
"1428","1428","-","-","",""
"1530","1530","-","-","",""
"1605","1605","-","-","",""
"1618","1618","-","-","",""
"1803","1803","-","-","",""
"1810","1810","-","-","",""
"1876","1876","-","-","",""
"1898","1898","-","-","",""
"1910","1910","-","-","",""
"1913","1913","-","-","",""
"1918","1918","-","-","",""
"1919","1919","-","-","",""
"1925","1925","-","-","",""
"1928","1928","-","-","",""
"1929","1929","-","-","",""
"1958","1958","-","-","",""
"1988","1988","-","-","",""
"1997","1997","-","-","",""
"1COV","1COV","-","-","",""
"1INCHUSD","1INCHUSD","-","-","",""
"2007","2007","-","-","",""
"2015","2015","-","-","",""
"2018","2018","-","-","",""
"2020","2020","-","-","",""
"2202","2202","-","-","",""
"2269","2269","-","-","",""
"2282","2282","-","-","",""
"2282JP","2282JP","-","-","",""
"2313","2313","-","-","",""
"2318","2318","-","-","",""
"2319","2319","-","-","",""
"2328","2328","-","-","",""
"2331","2331","-","-","",""
"2382","2382","-","-","",""
"2388","2388","-","-","",""
