symbol,epic,name,minDealSize,marginFactor,leverage
EURUSD,EURUSD,"EUR/USD",100,3.333333,-
GBPUSD,GBPUSD,"GBP/USD",100,3.333333,-
US500,US500,"US 500",0.01,5,-
US100,US100,"US Tech 100",0.001,5,-
AAPL,AAPL,"Apple Inc",0.1,20,-
TSLA,TSLA,"Tesla Inc",0.1,20,-
NVDA,NVDA,"NVIDIA Corp",0.1,20,-
BTCUSD,BTCUSD,"Bitcoin / USD",0.0001,50,-
ETHUSD,ETHUSD,"Ethereum / USD",0.001,50,-
XRPUSD,XRPUSD,"Ripple / USD",1,50,-
SOLUSD,SOLUSD,"Solana / USD",0.1,50,-
ADAUSD,ADAUSD,"Cardano / USD",10,50,-
XAUUSD,-,"-",-,-,-
USDJPY,USDJPY,"USD/JPY",100,3.333333,-
GER40,-,"-",-,-,-
