time,side,price,p
1692720900,BUY,0.2547,0.5318808389513465
1692725400,SL,0.2525,
1692725400,BUY,0.2525,0.5519048132724816
1692730800,TP,0.2557,
1692738900,BUY,0.2527,0.530410418947256
1692743400,TP,0.2561,
1692807300,SELL,0.2653,0.5235015320360302
1692810000,SL,0.2673,
1692810000,SELL,0.2673,0.5279526910689826
1692836100,SL,0.2691,
1692887400,BUY,0.2627,0.5351296620429921
1692898200,TP,0.2661,
1692927900,SELL,0.2704,0.5340319660822263
1692928800,TP,0.2646,
1692933300,BUY,0.2629,0.5203428333761169
1692937800,SL,0.2611,
1692937800,BUY,0.2611,0.5274712853238326
1693017000,SL,0.2595,
1693318500,SELL,0.2692,0.560463068057429
1693319400,SL,0.2769,
1693319400,SELL,0.2769,0.6057529003587883
1693347300,TP,0.2732,
1693356300,BUY,0.2695,0.5247347585970858
1693362600,SL,0.2677,
1693364400,BUY,0.2668,0.5209911972939089
1693377000,SL,0.2651,
1693495800,BUY,0.2583,0.5510658020424186
1693499400,SL,0.2559,
1693499400,BUY,0.2559,0.554330102708931
1693500300,SL,0.2529,
1693500300,BUY,0.2529,0.5805709821434336
1693504800,TP,0.2565,
1693505700,BUY,0.2555,0.5241291562876269
1693514700,SL,0.2539,
1693515600,BUY,0.2529,0.5262932621436072
1693527300,TP,0.2566,
1693587600,BUY,0.2516,0.5484870691316395
1693599300,TP,0.2558,
1694167200,BUY,0.2538,0.5319919451020512
1694304900,SL,0.2514,
1694319300,BUY,0.245,0.5762785863806928
1694324700,TP,0.2484,
1694423700,BUY,0.2438,0.5262413559201728
1694426400,SL,0.2421,
1694426400,BUY,0.2421,0.5354245651511488
1694436300,TP,0.2451,
1694449800,BUY,0.2414,0.5201226305857066
1694457900,SL,0.2399,
1694459700,BUY,0.2391,0.5226658869541672
1694475900,TP,0.2421,
1694488500,SELL,0.2485,0.5511708758261725
1694494800,TP,0.2454,
1694513700,SELL,0.2512,0.5268130263865978
1694537100,TP,0.248,
1694983500,BUY,0.2452,0.5215897040226357
1695003300,TP,0.2483,
1695238200,BUY,0.251,0.5303091137392331
1695276000,SL,0.2493,
1695293100,BUY,0.2466,0.5230675604387236
1695339900,SL,0.2449,
1696010400,BUY,0.2496,0.5224996070088593
1696018500,SL,0.248,
1696154400,SELL,0.2614,0.537963952245535
1696159800,SL,0.2632,
1696198500,SELL,0.266,0.5338117398890554
1696200300,SL,0.2676,
1696200300,SELL,0.2676,0.5294332829546555
1696205700,TP,0.2643,
1696261500,BUY,0.2639,0.5227104411873558
1696271400,SL,0.2601,
1696271400,BUY,0.2601,0.5530535182583932
1696285800,SL,0.2582,
1696379400,BUY,0.2542,0.563105596617169
1696401900,TP,0.2575,
1696844700,BUY,0.2508,0.5611546336239015
1696870800,SL,0.2492,
1697462100,SELL,0.2578,0.537247180220752
1697463000,TP,0.253,
1697550300,BUY,0.2463,0.5322043254551984
1697622300,SL,0.2447,
1697679000,BUY,0.2399,0.5368061503195063
1697719500,TP,0.2429,
1697959800,BUY,0.2571,0.5298120372074847
1697995800,TP,0.2602,
1698100200,SELL,0.2773,0.5562168636429189
1698101100,SL,0.2792,
1698101100,SELL,0.2792,0.5542748034443244
1698108300,SL,0.2818,
1698109200,SELL,0.2829,0.5228159677961767
1698113700,SL,0.2856,
1698113700,SELL,0.2856,0.5340678724121382
1698115500,SL,0.2887,
1698115500,SELL,0.2887,0.5368498307284814
1698118200,TP,0.2847,
1698126300,BUY,0.2801,0.5356541624455167
1698128100,SL,0.2772,
1698128100,BUY,0.2772,0.553040401401821
1698134400,TP,0.281,
1698149700,SELL,0.2895,0.524535655505714
1698150600,SL,0.2921,
1698150600,SELL,0.2921,0.5391920491383853
1698152400,TP,0.2875,
1698160500,BUY,0.2808,0.5773173960247192
1698161400,SL,0.2765,
1698161400,BUY,0.2765,0.5958184963921647
1698186600,TP,0.28,
1698218100,BUY,0.2789,0.5226216393862797
1698220800,SL,0.2767,
1698220800,BUY,0.2767,0.5304261265430172
1698224400,TP,0.2806,
1698249600,SELL,0.2894,0.5207986783621348
1698250500,TP,0.285,
1698266700,BUY,0.2787,0.5217612823405069
1698279300,TP,0.2821,
1698291000,SELL,0.2895,0.5267156316285018
1698296400,SL,0.2927,
1698296400,SELL,0.2927,0.5251551481246387
1698299100,TP,0.2881,
1698309000,SELL,0.2963,0.5202922758669781
1698311700,TP,0.2917,
1698311700,BUY,0.2917,0.5211574300962661
1698319800,SL,0.2879,
1698319800,BUY,0.2879,0.5376049419481382
1698321600,TP,0.2915,
1698327900,BUY,0.2917,0.5224960831572234
1698330600,SL,0.2871,
1698330600,BUY,0.2871,0.5659797503198201
1698333300,SL,0.284,
1698333300,BUY,0.284,0.5621818460246377
1698338700,SL,0.2822,
1698338700,BUY,0.2822,0.5482464393741799
1698339600,TP,0.2857,
1698341400,BUY,0.2845,0.5224524582103341
1698360300,TP,0.2881,
1698369300,BUY,0.2831,0.5207119347819835
1698371100,SL,0.2811,
1698371100,BUY,0.2811,0.5393134633938964
1698374700,TP,0.2846,
1698426000,BUY,0.286,0.5240239738641156
1698430500,SL,0.2832,
1698430500,BUY,0.2832,0.5420495766264264
1698431400,TP,0.2871,
1698461100,SELL,0.2955,0.5227940455497468
1698495300,TP,0.2919,
1698685200,BUY,0.2973,0.5249548395166131
1698695100,TP,0.301,
1698738300,BUY,0.2966,0.5208878759788362
1698750000,TP,0.3013,
1698759000,BUY,0.2953,0.5215041623940891
1698761700,SL,0.2926,
1698761700,BUY,0.2926,0.5431170623304943
1698764400,SL,0.2898,
1698764400,BUY,0.2898,0.5564409808176856
1698778800,TP,0.2933,
1698816600,BUY,0.2862,0.5250589231167926
1698842700,TP,0.2907,
1698849900,BUY,0.2873,0.5273252815951945
1698857100,TP,0.2908,
1698863400,SELL,0.2961,0.520931868291334
1698866100,SL,0.3003,
1698866100,SELL,0.3003,0.5446522456280226
1698868800,SL,0.3029,
1698868800,SELL,0.3029,0.5451824357501304
1698870600,SL,0.3048,
1698870600,SELL,0.3048,0.5461201685243794
1698876000,SL,0.3074,
1698876000,SELL,0.3074,0.5282191618492685
1698883200,SL,0.3094,
1698883200,SELL,0.3094,0.5211600131669233
1698888600,SL,0.3114,
1698901200,BUY,0.3047,0.5349177991386904
1698916500,TP,0.3086,
1698937200,BUY,0.305,0.540843486590605
1698939900,SL,0.3003,
1698939900,BUY,0.3003,0.5823148419131393
1698944400,TP,0.3056,
1698946200,SELL,0.3137,0.5419435434580079
1698947100,SL,0.3156,
1698947100,SELL,0.3156,0.5370117590118788
1698949800,SL,0.3193,
1698949800,SELL,0.3193,0.5448749016725353
1698950700,SL,0.3242,
1698950700,SELL,0.3242,0.5716465812971799
1698951600,SL,0.3285,
1698951600,SELL,0.3285,0.5811968446665868
1698953400,TP,0.3243,
1698955200,SELL,0.3262,0.5260415691606075
1698957000,TP,0.3208,
1698958800,BUY,0.3195,0.5249398912865049
1698966900,TP,0.3241,
1698972300,BUY,0.3213,0.5391321160163635
1698973200,SL,0.3174,
1698973200,BUY,0.3174,0.5598883748994727
1698980400,SL,0.3154,
1698980400,BUY,0.3154,0.5470568911742723
1698985800,SL,0.3134,
1698985800,BUY,0.3134,0.5445866374461462
1698991200,TP,0.3177,
1698994800,SELL,0.3246,0.5337467418005395
1698999300,TP,0.3207,
1699002000,BUY,0.3193,0.52611662230282
1699005600,SL,0.3157,
1699005600,BUY,0.3157,0.5391405650663748
1699014600,TP,0.3195,
1699032600,BUY,0.315,0.5311298736975323
1699035300,TP,0.3197,
1699110000,BUY,0.3212,0.5217904361928402
1699118100,TP,0.3254,
1699156800,SELL,0.3332,0.5266479899985383
1699160400,SL,0.3353,
1699160400,SELL,0.3353,0.5306477742315308
1699180200,SL,0.3384,
1699182900,SELL,0.3431,0.5386319998322466
1699191900,TP,0.3358,
1699191900,BUY,0.3358,0.5426957278957845
1699195500,TP,0.3406,
1699200900,SELL,0.3478,0.5321913131487864
1699220700,TP,0.3412,
1699220700,BUY,0.3412,0.5307742417632993
1699230600,TP,0.346,
1699247700,BUY,0.3395,0.539927852148418
1699256700,TP,0.3449,
1699264800,SELL,0.3523,0.5309121458809016
1699273800,SL,0.3546,
1699295400,SELL,0.3597,0.5209063016026357
1699297200,SL,0.3632,
1699297200,SELL,0.3632,0.5393367196323765
1699299000,SL,0.3675,
1699299000,SELL,0.3675,0.5467596032509151
1699302600,SL,0.3722,
1699302600,SELL,0.3722,0.5536299760565815
1699305300,TP,0.3659,
1699313400,BUY,0.3622,0.522787508385919
1699317000,SL,0.3597,
1699317000,BUY,0.3597,0.5414660646707987
1699325100,SL,0.3553,
1699325100,BUY,0.3553,0.5507667970627429
1699337700,SL,0.3529,
1699337700,BUY,0.3529,0.5344246775493338
1699348500,SL,0.3507,
1699349400,BUY,0.348,0.5423297829755214
1699353000,SL,0.3457,
1699353000,BUY,0.3457,0.5407037941081465
1699370100,SL,0.3415,
1699370100,BUY,0.3415,0.537170870315208
1699371000,SL,0.3379,
1699371000,BUY,0.3379,0.5598984531590261
1699375500,SL,0.3357,
