time,side,price,p
1524110400,BUY,0.262,0.6576812110840868
1524139200,TP,0.26892,
1524139200,BUY,0.26892,0.5979147285191179
1524182400,TP,0.27852,
1524182400,BUY,0.27852,0.558613233568736
1524211200,TP,0.28509,
1524211200,BUY,0.28509,0.5476882964593176
1524240000,TP,0.29744,
1524254400,BUY,0.30108,0.530414586468124
1524268800,SL,0.297,
1524268800,BUY,0.297,0.5673028888922383
1524297600,SL,0.277,
1524297600,BUY,0.277,0.6311610870307648
1524312000,TP,0.29039,
1524326400,BUY,0.28285,0.5790529793287541
1524340800,TP,0.28668,
1524340800,BUY,0.28668,0.5461910446003486
1524355200,SL,0.2812,
1524355200,BUY,0.2812,0.5750487008206506
1524369600,TP,0.2855,
1524369600,BUY,0.2855,0.5518167534397073
1524384000,TP,0.29155,
1524384000,BUY,0.29155,0.5240819519144801
1524412800,SL,0.287,
1524412800,BUY,0.287,0.5544042263765456
1524427200,SL,0.2816,
1524427200,BUY,0.2816,0.57023284082604
1524456000,TP,0.28589,
1524456000,BUY,0.28589,0.5270727637029111
1524499200,SL,0.28263,
1524499200,BUY,0.28263,0.5380923083884375
1524513600,TP,0.28788,
1524556800,SELL,0.3112,0.5487443788603318
1524585600,SL,0.31889,
1524585600,SELL,0.31889,0.5213364308295129
1524600000,TP,0.30853,
1524600000,BUY,0.30853,0.5300997130989962
1524614400,SL,0.281,
1524614400,BUY,0.281,0.6212204267703125
1524628800,TP,0.28931,
1524628800,BUY,0.28931,0.5217625453070794
1524643200,SL,0.27686,
1524643200,BUY,0.27686,0.5940434986115192
1524657600,SL,0.27402,
1524657600,BUY,0.27402,0.5750350554711968
1524686400,SL,0.2687,
1524686400,BUY,0.2687,0.60544095404533
1524700800,SL,0.26604,
1524700800,BUY,0.26604,0.5907957747159458
1524715200,TP,0.27315,
1524715200,BUY,0.27315,0.5497232113324593
1524758400,TP,0.2782,
1524758400,BUY,0.2782,0.5368783393887311
1524772800,TP,0.29326,
1524772800,SELL,0.29326,0.5230642318883646
1524787200,TP,0.28527,
1524787200,BUY,0.28527,0.5417950820752135
1524816000,TP,0.2929,
1524859200,BUY,0.28445,0.5495268446592848
1524873600,TP,0.30015,
1524873600,SELL,0.30015,0.5383438148908393
1524888000,SL,0.30845,
1524888000,SELL,0.30845,0.5369414503250935
1524902400,SL,0.31251,
1524902400,SELL,0.31251,0.5299482719071487
1524916800,SL,0.345,
1524916800,SELL,0.345,0.6401648654211063
1524931200,SL,0.3558,
1524931200,SELL,0.3558,0.585703052654053
1524960000,SL,0.37415,
1524960000,SELL,0.37415,0.5957855077824257
1524974400,SL,0.3805,
1524974400,SELL,0.3805,0.5651040977414432
1524988800,TP,0.35447,
1524988800,BUY,0.35447,0.5403852629682498
1525003200,TP,0.36772,
1525003200,SELL,0.36772,0.5484738462218856
1525032000,TP,0.36254,
1525046400,BUY,0.341,0.5659657977027599
1525075200,TP,0.355,
1525104000,BUY,0.34559,0.5311238988780971
1525118400,SL,0.34145,
1525118400,BUY,0.34145,0.5465767610831631
1525132800,SL,0.32173,
1525132800,BUY,0.32173,0.6072685215781071
1525147200,TP,0.33787,
1525176000,BUY,0.33735,0.5323815569432224
1525190400,TP,0.35374,
1525190400,SELL,0.35374,0.53423732573112
1525248000,SL,0.36507,
1525248000,SELL,0.36507,0.5316305795940184
1525262400,SL,0.37328,
1525262400,SELL,0.37328,0.5459536333816501
1525276800,TP,0.36661,
1525291200,SELL,0.37199,0.5312252004897039
1525305600,SL,0.38231,
1525305600,SELL,0.38231,0.5423211348620878
1525320000,TP,0.37318,
1525392000,BUY,0.35842,0.5229247521480533
1525406400,TP,0.36284,
1525435200,BUY,0.34856,0.5312633765627819
1525449600,TP,0.36245,
1525449600,SELL,0.36245,0.533282038440225
1525464000,TP,0.358,
1525478400,SELL,0.36636,0.5297272303551661
1525521600,SL,0.37293,
1525521600,SELL,0.37293,0.5377666686905324
1525536000,TP,0.36637,
1525593600,BUY,0.34071,0.5240143688667188
1525636800,TP,0.34654,
1525651200,BUY,0.32475,0.5899852050569
1525708800,TP,0.33678,
1525723200,BUY,0.33046,0.5359684713206198
1525737600,TP,0.34248,
1525752000,BUY,0.33612,0.5280690861316545
1525766400,SL,0.32101,
1525766400,BUY,0.32101,0.5717988048692294
1525780800,TP,0.32685,
1525795200,BUY,0.326,0.5202811080814218
1525809600,SL,0.32213,
1525824000,BUY,0.30318,0.5893043882093292
1525852800,TP,0.31485,
1525910400,BUY,0.3143,0.529587014682978
1525968000,SL,0.30353,
1525968000,BUY,0.30353,0.5477109277847599
1525982400,SL,0.29121,
1525982400,BUY,0.29121,0.5680799321698062
1525996800,SL,0.2864,
1525996800,BUY,0.2864,0.5541355167667957
1526011200,SL,0.26044,
1526011200,BUY,0.26044,0.6569757676246943
1526025600,SL,0.25446,
1526025600,BUY,0.25446,0.6176139384936685
1526040000,TP,0.26355,
1526040000,BUY,0.26355,0.5562775787264616
1526054400,TP,0.26901,
1526054400,BUY,0.26901,0.5444360934837962
1526068800,SL,0.25573,
1526068800,BUY,0.25573,0.6164114805788732
1526097600,SL,0.24709,
1526097600,BUY,0.24709,0.6380042888667069
1526112000,TP,0.26563,
1526126400,BUY,0.25736,0.594541886144192
1526140800,TP,0.26212,
1526140800,BUY,0.26212,0.5614408388936262
1526155200,TP,0.2655,
1526155200,BUY,0.2655,0.547325351982008
1526169600,SL,0.263,
1526169600,BUY,0.263,0.5729959648532791
1526198400,TP,0.26634,
1526198400,BUY,0.26634,0.5339301915072421
1526212800,TP,0.27802,
1526212800,SELL,0.27802,0.52164946056036
1526256000,TP,0.25947,
1526256000,BUY,0.25947,0.5968457357884671
1526299200,TP,0.27375,
1526299200,SELL,0.27375,0.5274331722276374
1526328000,TP,0.26655,
1526328000,BUY,0.26655,0.5404665981803439
1526356800,TP,0.274,
1526385600,BUY,0.26105,0.5496596722371898
1526414400,SL,0.25394,
1526414400,BUY,0.25394,0.5473405030249805
1526428800,SL,0.24178,
1526428800,BUY,0.24178,0.5885435960319957
1526457600,TP,0.2478,
1526472000,BUY,0.24394,0.5455030713747775
1526500800,TP,0.25237,
1526529600,BUY,0.24822,0.5286893509220894
1526572800,SL,0.24437,
1526572800,BUY,0.24437,0.5261923306431435
1526587200,SL,0.23919,
1526587200,BUY,0.23919,0.5301618708172086
1526601600,SL,0.23548,
1526601600,BUY,0.23548,0.5336401946720678
1526616000,TP,0.23849,
1526659200,SELL,0.24341,0.5295048639073385
1526688000,TP,0.23991,
