time,side,price,p
1692659700,BUY,1666.8,0.6289204592667369
1692707400,REV->SELL,1667.36,0.5344639812857059
1692708300,REV->BUY,1663.25,0.5224079870312103
1692719100,SL,1649.88,
1692719100,BUY,1649.88,0.588265758369885
1692720900,SL,1635.02,
1692720900,BUY,1635.02,0.636408263716913
1692725400,SL,1622.57,
1692725400,BUY,1622.57,0.6121075162613634
1692738900,SL,1604.31,
1692738900,BUY,1604.31,0.624641194735614
1692745200,TP,1634.53,
1692745200,SELL,1634.53,0.5460114405095116
1692752400,REV->BUY,1630.04,0.5247063824991354
1692765900,REV->SELL,1638.03,0.5206723957202065
1692774900,SL,1650.18,
1692774900,SELL,1650.18,0.565400105181127
1692789300,REV->BUY,1640.27,0.524980744218079
1692798300,REV->SELL,1649.0,0.547853198666782
1692806400,SL,1659.01,
1692806400,SELL,1659.01,0.5493170849894146
1692807300,SL,1676.61,
1692807300,SELL,1676.61,0.6080905628130621
1692810000,SL,1686.81,
1692810000,SELL,1686.81,0.6069546366623428
1692827100,TP,1665.26,
1692827100,BUY,1665.26,0.5953989726306942
1692886500,SL,1653.82,
1692886500,BUY,1653.82,0.6086515928618909
1692890100,SL,1643.35,
1692890100,BUY,1643.35,0.6165065298033287
1692920700,REV->SELL,1661.16,0.5508809948886034
1692933300,REV->BUY,1651.67,0.5497176477259075
1692951300,REV->SELL,1657.81,0.534782234345983
1692973800,REV->BUY,1648.3,0.5719405552588932
1692989100,REV->SELL,1654.11,0.5268619809174292
1692991800,REV->BUY,1647.2,0.522002382449982
1693006200,REV->SELL,1654.2,0.5200124874684149
1693027800,REV->BUY,1651.32,0.5252371346806494
1693061100,REV->SELL,1652.22,0.5297972640395405
1693067400,REV->BUY,1648.02,0.5483293712017375
1693083600,REV->SELL,1649.11,0.5254829085065467
1693090800,REV->BUY,1645.71,0.5437935439787845
1693100700,REV->SELL,1649.76,0.5284243685662394
1693104300,REV->BUY,1646.35,0.5279447049391017
1693111500,REV->SELL,1652.01,0.5629433011383191
1693117800,REV->BUY,1648.49,0.5213234217912646
1693125900,REV->SELL,1650.97,0.5241931494766864
1693138500,REV->BUY,1648.88,0.5207696941854095
1693142100,REV->SELL,1651.54,0.5235021828675858
1693158300,REV->BUY,1651.66,0.5413281598217469
1693162800,REV->SELL,1656.77,0.5242908205135761
1693172700,REV->BUY,1653.37,0.5284531023645105
1693176300,REV->SELL,1657.43,0.5210996501589027
1693181700,REV->BUY,1653.99,0.5310346932140314
1693200600,SL,1641.71,
1693200600,BUY,1641.71,0.6014958401139537
1693224000,REV->SELL,1649.78,0.5759047467455769
1693250100,REV->BUY,1643.73,0.5635609602378491
1693262700,REV->SELL,1650.97,0.5220270772399654
1693278000,REV->BUY,1651.29,0.5260653580710585
1693308600,SL,1641.24,
1693308600,BUY,1641.24,0.5762272768848382
1693317600,REV->SELL,1653.19,0.5677026644639103
1693318500,SL,1695.93,
1693318500,SELL,1695.93,0.688378691149868
1693319400,SL,1729.17,
1693319400,SELL,1729.17,0.686433623145325
1693335600,SL,1740.08,
1693335600,SELL,1740.08,0.5399821605612675
1693341900,REV->BUY,1726.36,0.5394619068115014
1693361700,SL,1715.75,
1693361700,BUY,1715.75,0.5491906643020382
1693391400,REV->SELL,1720.51,0.5237660249341661
1693395900,REV->BUY,1716.2,0.5268618358496412
1693406700,SL,1702.85,
1693406700,BUY,1702.85,0.5783323733155042
1693458900,REV->SELL,1703.64,0.5260040657646337
1693481400,SL,1720.04,
1693481400,SELL,1720.04,0.6249240255094963
1693487700,REV->BUY,1705.59,0.5308191832287922
1693495800,SL,1685.73,
1693495800,BUY,1685.73,0.6229741688183583
1693499400,SL,1666.79,
1693499400,BUY,1666.79,0.643740243169103
1693500300,SL,1651.06,
1693500300,BUY,1651.06,0.6534403860132048
1693515600,SL,1639.82,
