time,side,price,p
1692719100,BUY,20.69,0.5250686472999258
1692720000,SL,20.56,
1692720000,BUY,20.56,0.5444074406896102
1692725400,SL,20.21,
1692725400,BUY,20.21,0.5759535570417001
1692733500,SL,20.07,
1692733500,BUY,20.07,0.5445946210499905
1692738900,SL,19.77,
1692738900,BUY,19.77,0.5781599501608548
1692741600,TP,20.01,
1692741600,BUY,20.01,0.5205113524041417
1692743400,TP,20.38,
1692745200,SELL,20.59,0.533177164335436
1692772200,SL,20.8,
1692795600,BUY,20.47,0.5210259498593839
1692798300,TP,20.77,
1692807300,SELL,21.21,0.5419883519957309
1692810000,SL,21.47,
1692810000,SELL,21.47,0.5639572637149858
1692821700,SL,21.66,
1692821700,SELL,21.66,0.5328472253491399
1692827100,TP,21.37,
1692886500,BUY,21.41,0.5250357565397182
1692887400,SL,21.17,
1692887400,BUY,21.17,0.561848742237582
1692891900,SL,21.03,
1692891900,BUY,21.03,0.5486495158662426
1692901800,SL,20.88,
1692901800,BUY,20.88,0.529989751405288
1692925200,SL,20.75,
1692933300,BUY,20.63,0.5332773624080374
1692938700,SL,20.49,
1692938700,BUY,20.49,0.531094334696559
1692968400,TP,20.82,
1692973800,BUY,20.4,0.5453501246474335
1692986400,SL,20.24,
1692986400,BUY,20.24,0.5212318446172753
1693125000,TP,20.5,
1693184400,BUY,20.5,0.5240415205438302
1693200600,SL,20.3,
1693200600,BUY,20.3,0.523593218088386
1693224000,TP,20.56,
1693224900,SELL,20.73,0.5362441434028382
1693250100,TP,20.48,
1693318500,SELL,21.22,0.596980538954789
1693319400,SL,21.97,
1693319400,SELL,21.97,0.6611621781672581
1693321200,TP,21.57,
1693321200,SELL,21.57,0.5826087877473528
1693329300,SL,21.79,
1693329300,SELL,21.79,0.5323242296060371
1693358100,REV->BUY,21.59,0.5223017785692144
1693394100,SL,21.44,
1693404900,BUY,21.17,0.5360664340099547
1693405800,SL,21.03,
1693405800,BUY,21.03,0.5536037695453537
1693407600,SL,20.9,
1693407600,BUY,20.9,0.55957234757452
1693411200,SL,20.77,
1693411200,BUY,20.77,0.5480929014019066
1693419300,SL,20.63,
1693419300,BUY,20.63,0.5324064378878204
1693436400,TP,20.89,
1693490400,BUY,20.6,0.5200597873810604
1693495800,SL,20.32,
1693495800,BUY,20.32,0.5547096776528074
1693499400,SL,20.05,
1693499400,BUY,20.05,0.5750481240089862
1693500300,SL,19.69,
1693500300,BUY,19.69,0.61884041927391
1693504800,TP,19.96,
1693505700,BUY,19.91,0.5284198208517286
1693508400,SL,19.77,
1693508400,BUY,19.77,0.5447163570525445
1693514700,SL,19.64,
1693514700,BUY,19.64,0.5441850560281183
1693528200,TP,19.9,
1693576800,BUY,19.59,0.5229490464776138
1693579500,SL,19.38,
1693579500,BUY,19.38,0.552215128632132
1693587600,SL,19.08,
1693587600,BUY,19.08,0.5689197249852259
1693599300,TP,19.39,
1693676700,BUY,19.27,0.5286267777357125
1693696500,TP,19.51,
1693831500,BUY,19.44,0.5222446454251698
1693839600,SL,19.27,
1693839600,BUY,19.27,0.5447696474442767
1693846800,TP,19.51,
1693863900,BUY,19.24,0.525428401229988
1693871100,TP,19.52,
1693882800,BUY,19.1,0.5301459754923408
1693899000,TP,19.34,
1693921500,SELL,19.96,0.5316592094348027
1693922400,SL,20.18,
1693922400,SELL,20.18,0.5655621715952324
1693927800,SL,20.4,
1693927800,SELL,20.4,0.5545153608473744
1693929600,SL,20.58,
1693929600,SELL,20.58,0.5635274289360529
1693932300,TP,20.32,
1693977300,BUY,19.92,0.5274793549425886
1693978200,SL,19.8,
1693978200,BUY,19.8,0.5467824556425632
1694007900,SL,19.6,
1694007900,BUY,19.6,0.523244744379487
1694008800,SL,19.46,
1694008800,BUY,19.46,0.5460191738849641
1694012400,SL,19.33,
1694012400,BUY,19.33,0.5479747132637642
1694022300,TP,19.65,
1694133900,SELL,20.2,0.5301870343107209
1694139300,TP,19.95,
1694166300,BUY,19.62,0.5222610417851524
1694167200,SL,19.48,
1694167200,BUY,19.48,0.5479061334727069
1694304900,SL,19.31,
1694318400,BUY,18.86,0.5775390200817168
1694319300,SL,18.32,
1694319300,BUY,18.32,0.6550960804788825
1694328300,TP,18.54,
1694332800,BUY,18.45,0.5287387086662024
1694339100,SL,18.33,
1694339100,BUY,18.33,0.5268101770359273
1694356200,SL,18.11,
1694356200,BUY,18.11,0.5450345935195091
1694358000,SL,17.92,
1694358000,BUY,17.92,0.5738114556000457
1694359800,TP,18.24,
1694364300,BUY,18.06,0.520448719403878
1694365200,SL,17.9,
1694365200,BUY,17.9,0.5505415894349202
1694375100,TP,18.19,
1694392200,BUY,18.05,0.5415354391708076
1694399400,TP,18.36,
1694419200,BUY,18.04,0.531621227310096
1694423700,SL,17.8,
1694423700,BUY,17.8,0.5612904401323566
1694426400,SL,17.6,
1694426400,BUY,17.6,0.5797662231665766
1694436300,TP,17.84,
1694439900,BUY,17.6,0.5317568815614219
1694446200,TP,17.86,
1694457900,BUY,17.6,0.5231018379801843
1694460600,SL,17.48,
1694460600,BUY,17.48,0.538447092233319
1694475000,TP,17.7,
1694488500,SELL,18.36,0.5783281650782861
1694489400,TP,18.13,
1694489400,SELL,18.13,0.5301983967943941
1694495700,TP,17.9,
1694513700,SELL,18.61,0.5668563522559962
1694514600,TP,18.37,
1694523600,BUY,18.09,0.5248304566188191
1694530800,SL,17.93,
1694530800,BUY,17.93,0.5374361042435677
1694539800,SL,17.78,
1694539800,BUY,17.78,0.5460017405429813
1694553300,TP,18.05,
1694576700,BUY,17.83,0.5239123748286323
1694592900,TP,18.18,
1694592900,SELL,18.18,0.5274446454586874
1694617200,SL,18.36,
1694618100,SELL,18.42,0.527509808644972
1694625300,TP,18.04,
1694625300,BUY,18.04,0.554657708347632
1694632500,TP,18.4,
1694649600,SELL,18.71,0.5246817727489255
1694651400,SL,18.97,
1694651400,SELL,18.97,0.5592609031562885
1694652300,SL,19.27,
1694652300,SELL,19.27,0.5908714527362567
1694655000,TP,19.03,
1694655000,SELL,19.03,0.5238064332317968
1694664900,TP,18.78,
1694682900,BUY,18.59,0.5241875211843644
1694689200,TP,18.83,
1694788200,BUY,18.79,0.5239312036821971
1694799900,SL,18.65,
1694799900,BUY,18.65,0.526740946053072
1694817000,TP,19.12,
1694817000,SELL,19.12,0.5258690784872366
1694818800,SL,19.3,
1694818800,SELL,19.3,0.5526377490722258
1694851200,TP,19.05,
1694871000,BUY,18.91,0.5257576419276422
1694982600,SL,18.74,
1695004200,SELL,19.08,0.5288831775769196
1695007800,SL,19.2,
1695007800,SELL,19.2,0.5259089147248224
1695030300,SL,19.32,
1695033000,SELL,19.66,0.5483398334448113
1695040200,SL,19.8,
1695040200,SELL,19.8,0.5307798202731472
1695049200,SL,19.93,
1695051000,SELL,20.07,0.5343718115889381
1695057300,TP,19.72,
1695058200,BUY,19.68,0.5212300820743407
1695062700,SL,19.56,
1695062700,BUY,19.56,0.5248155537385277
1695065400,TP,19.8,
1695113100,SELL,20.17,0.5206945510368512
1695114900,SL,20.3,
1695114900,SELL,20.3,0.5378720747835793
1695126600,TP,19.98,
1695131100,BUY,19.86,0.5246019968976406
1695138300,TP,20.13,
1695237300,BUY,20.06,0.5259121508539032
1695241800,TP,20.32,
1695258900,BUY,19.96,0.5402186182908647
1695276000,SL,19.84,
1695276000,BUY,19.84,0.5237951871798773
1695287700,SL,19.72,
1695287700,BUY,19.72,0.5238897476275542
1695293100,SL,19.55,
1695293100,BUY,19.55,0.5361894403497427
1695302100,SL,19.43,
1695302100,BUY,19.43,0.5297111266861482
1695320100,TP,19.67,
1695340800,BUY,19.34,0.5244044133867048
1695346200,TP,19.58,
1695762900,BUY,19.02,0.5264687024698638
1695802500,SL,18.9,
1695814200,SELL,19.42,0.5298937194185598
1695824100,TP,19.09,
1695824100,BUY,19.09,0.5238982071352899
1695825000,SL,18.96,
1695825000,BUY,18.96,0.5451204388738246
1695837600,SL,18.81,
1695837600,BUY,18.81,0.5248831097898926
1695853800,TP,19.05,
1695913200,SELL,19.54,0.5253119660883326
1695929400,SL,19.66,
1695951900,SELL,20.21,0.5239769248462995
1695997800,SL,20.41,
1696078800,SELL,20.66,0.5286570726571332
1696079700,SL,21.0,
1696079700,SELL,21.0,0.5673514116154952
1696085100,SL,21.3,
1696085100,SELL,21.3,0.5624948775288943
1696087800,SL,21.43,
1696087800,SELL,21.43,0.5588139480020833
1696089600,SL,21.64,
1696089600,SELL,21.64,0.5737486838767777
1696097700,TP,21.37,
1696153500,SELL,21.81,0.5335683125567763
1696154400,SL,23.0,
1696154400,SELL,23.0,0.6616777277150153
1696162500,SL,23.15,
1696162500,SELL,23.15,0.54776696378952
1696166100,SL,23.32,
1696166100,SELL,23.32,0.5437282946353162
1696173300,TP,23.04,
1696176900,BUY,22.88,0.5237703613050136
1696178700,SL,22.66,
1696178700,BUY,22.66,0.5498660105237283
1696181400,SL,22.49,
1696181400,BUY,22.49,0.553781040868679
1696185000,TP,22.77,
1696198500,SELL,23.83,0.5919133715307157
1696199400,SL,24.28,
1696199400,SELL,24.28,0.6231716301187631
1696203900,TP,23.87,
1696228200,SELL,24.51,0.5210443302350554
1696236300,TP,24.13,
1696236300,BUY,24.13,0.522909807710584
1696246200,SL,23.92,
1696246200,BUY,23.92,0.5296005459520245
1696255200,SL,23.64,
1696255200,BUY,23.64,0.5534137606694374
