time,side,price,p
1629622800,SELL,76.838,0.5517787396185792
1629633600,TP,75.842,
1629640800,BUY,73.929,0.5393461046600504
1629655200,SL,72.828,
1629655200,BUY,72.828,0.5444664560199983
1629662400,SL,71.811,
1629662400,BUY,71.811,0.5495094371895322
1629669600,TP,72.933,
1629680400,SELL,73.586,0.5249880882751179
1629684000,SL,74.049,
1629687600,SELL,75.391,0.5490037229018426
1629691200,TP,74.3,
1629712800,BUY,72.42,0.5414097705784572
1629748800,TP,73.574,
1629748800,SELL,73.574,0.5212433249029541
1629752400,SL,74.208,
1629752400,SELL,74.208,0.5205560904507193
1629756000,SL,75.1,
1629756000,SELL,75.1,0.537627167251006
1629759600,SL,75.623,
1629759600,SELL,75.623,0.5301554932395621
1629763200,TP,74.611,
1629770400,SELL,76.187,0.55178599240267
1629774000,SL,78.244,
1629774000,SELL,78.244,0.5702121796818683
1629788400,TP,77.277,
1629795600,SELL,78.9,0.5376754758193654
1629799200,TP,77.41,
1629799200,BUY,77.41,0.5295050790937297
1629810000,SL,75.158,
1629810000,BUY,75.158,0.5656372106629763
1629813600,SL,73.49,
1629813600,BUY,73.49,0.5786552619254751
1629817200,SL,71.999,
1629817200,BUY,71.999,0.5811027375025055
1629820800,SL,70.777,
1629820800,BUY,70.777,0.5867488887298978
1629831600,TP,71.672,
1629831600,BUY,71.672,0.5250273045550361
1629846000,SL,70.527,
1629846000,BUY,70.527,0.5637481360796232
1629849600,TP,71.385,
1629853200,BUY,71.225,0.5224986010246331
1629860400,SL,70.663,
1629860400,BUY,70.663,0.5476339153094143
1629867600,TP,72.4,
1629867600,SELL,72.4,0.5308278165044483
1629874800,TP,71.141,
1629874800,BUY,71.141,0.5289955364276804
1629878400,SL,66.625,
1629878400,BUY,66.625,0.6411519644402194
1629882000,TP,67.81,
1629885600,BUY,68.01,0.5264802787604443
1629892800,SL,67.597,
1629892800,BUY,67.597,0.5301938436971063
1629900000,TP,70.809,
1629900000,SELL,70.809,0.5738658072897327
1629903600,SL,71.305,
1629903600,SELL,71.305,0.5284599437739128
1629918000,TP,70.237,
1629932400,SELL,71.973,0.5308848529703074
1629936000,SL,73.238,
1629936000,SELL,73.238,0.5539346253922693
1629946800,TP,70.743,
1629946800,BUY,70.743,0.5395193603605656
1629954000,SL,68.339,
1629954000,BUY,68.339,0.59271283087648
1629957600,SL,67.42,
1629957600,BUY,67.42,0.5599706398590816
1629968400,SL,66.95,
1629968400,BUY,66.95,0.5519876124071889
1629982800,TP,73.08,
1629982800,SELL,73.08,0.6718526242221194
1629986400,SL,75.31,
1629986400,SELL,75.31,0.607695907213342
1630011600,SL,76.02,
1630011600,SELL,76.02,0.532917160855601
1630015200,SL,77.0,
1630015200,SELL,77.0,0.5435467478392345
1630018800,TP,74.92,
1630018800,BUY,74.92,0.5398822180829869
1630022400,TP,80.31,
1630022400,SELL,80.31,0.6520848934606785
1630026000,TP,79.13,
1630029600,SELL,82.16,0.6014062891657217
1630040400,TP,81.17,
1630044000,SELL,81.72,0.5311061812090353
1630051200,SL,82.46,
1630051200,SELL,82.46,0.5235217960663402
1630058400,SL,83.22,
1630058400,SELL,83.22,0.5281404337502611
1630065600,TP,81.7,
1630072800,SELL,82.01,0.5260703301978441
1630080000,SL,84.8,
1630080000,SELL,84.8,0.5704031146462545
1630087200,SL,85.99,
1630087200,SELL,85.99,0.566251594070007
1630094400,SL,86.97,
1630094400,SELL,86.97,0.5627868986507454
1630101600,SL,88.76,
1630101600,SELL,88.76,0.5709542920294735
1630108800,TP,87.27,
1630112400,SELL,88.03,0.5349729477276575
1630119600,TP,86.3,
1630130400,SELL,87.19,0.5230539561489427
1630141200,SL,89.83,
1630141200,SELL,89.83,0.5750650436770695
1630144800,SL,90.7,
1630144800,SELL,90.7,0.5574387019087522
1630148400,SL,92.43,
1630148400,SELL,92.43,0.5791997122736342
1630152000,SL,93.19,
1630152000,SELL,93.19,0.5667710163821497
1630155600,SL,93.84,
1630155600,SELL,93.84,0.5596731092785289
1630159200,TP,92.69,
1630162800,SELL,94.66,0.5677414934653149
1630170000,SL,95.42,
1630170000,SELL,95.42,0.5368042411093519
1630177200,TP,93.93,
1630180800,SELL,95.27,0.5395919742631722
1630188000,SL,96.31,
1630188000,SELL,96.31,0.5325481820417812
1630195200,SL,97.18,
1630195200,SELL,97.18,0.5429611827620455
1630198800,TP,94.96,
1630198800,BUY,94.96,0.5363884349680157
1630202400,SL,94.03,
1630202400,BUY,94.03,0.5265819661445992
1630224000,SL,93.06,
1630224000,BUY,93.06,0.5288693637505563
1630231200,SL,92.3,
1630231200,BUY,92.3,0.5274585573068648
1630245600,SL,91.64,
1630245600,BUY,91.64,0.5355730560245369
1630260000,TP,93.16,
1630263600,SELL,93.92,0.5226490807654544
1630281600,SL,96.83,
1630281600,SELL,96.83,0.5688722434852993
1630285200,SL,98.67,
1630285200,SELL,98.67,0.5655550698775653
1630288800,SL,100.14,
1630288800,SELL,100.14,0.5676643159026158
1630292400,TP,97.63,
1630292400,BUY,97.63,0.5248316260699105
1630306800,TP,100.16,
1630306800,SELL,100.16,0.5452070681559164
1630317600,SL,101.31,
1630317600,SELL,101.31,0.5388759077495953
1630324800,TP,99.83,
1630332000,SELL,102.42,0.5480418247901374
1630335600,SL,105.62,
1630335600,SELL,105.62,0.5768026382956267
1630339200,SL,107.54,
1630339200,SELL,107.54,0.5649682369326278
1630346400,SL,115.72,
1630346400,SELL,115.72,0.6874800564427577
1630350000,TP,109.66,
1630350000,BUY,109.66,0.565380536904605
1630353600,REV->SELL,110.86,0.5316552462028314
1630357200,SL,114.37,
1630357200,SELL,114.37,0.573781092943826
1630360800,TP,112.48,
1630364400,BUY,110.25,0.5585591818662734
1630371600,TP,112.81,
1630382400,SELL,116.17,0.5296970429180348
1630386000,SL,117.92,
1630386000,SELL,117.92,0.5444984618892604
1630393200,SL,119.68,
1630393200,SELL,119.68,0.5547631441965704
1630404000,SL,120.51,
1630404000,SELL,120.51,0.5336686253148357
1630407600,SL,124.77,
1630407600,SELL,124.77,0.5857053884337307
1630411200,TP,122.35,
1630411200,BUY,122.35,0.5283538150509045
1630414800,TP,125.68,
1630414800,SELL,125.68,0.5609901864295561
1630418400,TP,118.62,
1630418400,BUY,118.62,0.6104303854257604
1630422000,SL,116.52,
1630422000,BUY,116.52,0.5629304559091659
1630425600,SL,114.23,
1630425600,BUY,114.23,0.5846200858423826
1630429200,SL,110.31,
1630429200,BUY,110.31,0.6164918538577641
1630436400,TP,114.69,
1630436400,SELL,114.69,0.5330478294154732
1630440000,TP,109.42,
1630440000,BUY,109.42,0.6170895925533677
1630443600,SL,106.93,
1630443600,BUY,106.93,0.5819138353489046
1630450800,TP,108.27,
1630454400,BUY,106.92,0.56077859950103
1630458000,TP,111.06,
1630458000,SELL,111.06,0.559872148054622
1630468800,SL,112.0,
1630476000,BUY,109.12,0.5399985694878308
1630483200,TP,112.35,
1630483200,SELL,112.35,0.5368944682718932
1630490400,SL,113.34,
1630490400,SELL,113.34,0.5246204518598738
1630494000,SL,116.07,
1630494000,SELL,116.07,0.5686852629770615
1630497600,SL,116.95,
1630497600,SELL,116.95,0.5419666252083426
1630501200,TP,115.06,
1630508400,SELL,117.22,0.5642633848093433
1630515600,TP,114.82,
1630515600,BUY,114.82,0.5203580710486135
1630526400,SL,112.8,
1630526400,BUY,112.8,0.5493018493606627
1630533600,SL,111.17,
1630533600,BUY,111.17,0.5419645741668707
1630551600,TP,113.7,
1630551600,SELL,113.7,0.5507688774649838
1630562400,SL,116.31,
1630562400,SELL,116.31,0.5739975503942724
1630566000,TP,114.48,
1630569600,SELL,117.4,0.5632091843409952
1630573200,TP,115.88,
1630584000,SELL,115.9,0.5239684157355511
1630587600,SL,116.85,
1630594800,SELL,121.88,0.6148441098340482
1630598400,SL,123.87,
1630598400,SELL,123.87,0.5667594291390555
1630602000,SL,126.72,
1630602000,SELL,126.72,0.5820738009148285
1630612800,SL,127.54,
1630612800,SELL,127.54,0.5276130888114423
1630616400,SL,129.07,
1630616400,SELL,129.07,0.541347254541524
1630627200,SL,133.64,
1630627200,SELL,133.64,0.5947884537929343
1630634400,SL,136.74,
1630634400,SELL,136.74,0.5751297052329648
1630645200,SL,138.78,
1630645200,SELL,138.78,0.553849826440354
1630648800,SL,141.71,
1630648800,SELL,141.71,0.562453652448971
1630652400,SL,144.69,
1630652400,SELL,144.69,0.559483348114856
1630656000,TP,141.11,
1630656000,BUY,141.11,0.5335266259720347
1630659600,TP,143.1,
1630659600,SELL,143.1,0.5359658727762234
1630663200,TP,141.25,
1630663200,BUY,141.25,0.5248566295274056
1630666800,SL,139.39,
1630666800,BUY,139.39,0.5418350080063673
1630674000,TP,142.64,
1630674000,SELL,142.64,0.5347813006159613
