time,side,price,p
1525593600,BUY,0.8555,0.5700034087591828
1525651200,SL,0.823,
1525651200,BUY,0.823,0.602255431785848
1525665600,SL,0.81073,
1525665600,BUY,0.81073,0.5656932214220052
1525708800,TP,0.83311,
1525723200,BUY,0.8249,0.5496224134846702
1525737600,TP,0.844,
1525752000,BUY,0.82962,0.5530472896256872
1525766400,SL,0.80284,
1525766400,BUY,0.80284,0.5766729751909839
1525795200,TP,0.81306,
1525809600,BUY,0.80667,0.5303790140348849
1525824000,SL,0.774,
1525824000,BUY,0.774,0.5810938133969034
1525838400,SL,0.76662,
1525838400,BUY,0.76662,0.54868132446994
1525852800,TP,0.79683,
1525852800,SELL,0.79683,0.5313944141952536
1525881600,SL,0.80253,
1525896000,BUY,0.79481,0.5397379713420141
1525968000,SL,0.76976,
1525968000,BUY,0.76976,0.5753876383914394
1525982400,SL,0.74558,
1525982400,BUY,0.74558,0.5686439144214838
1525996800,SL,0.741,
1525996800,BUY,0.741,0.5332287404982756
1526011200,SL,0.66352,
1526011200,BUY,0.66352,0.6680452349553567
1526040000,TP,0.68629,
1526040000,SELL,0.68629,0.5232155849523041
1526054400,SL,0.69491,
1526068800,BUY,0.6761,0.5576041351340996
1526097600,SL,0.66101,
1526097600,BUY,0.66101,0.5782401314204707
1526112000,TP,0.69098,
1526112000,SELL,0.69098,0.535624972852601
1526126400,TP,0.662,
1526126400,BUY,0.662,0.5763381512780728
1526140800,TP,0.68263,
1526169600,BUY,0.67775,0.5393390019324985
1526198400,TP,0.69042,
1526212800,SELL,0.72815,0.570774071720807
1526227200,SL,0.73576,
1526256000,BUY,0.69488,0.5804014966382741
1526270400,TP,0.70857,
1526284800,SELL,0.718,0.5215744151350131
1526299200,SL,0.73991,
1526299200,SELL,0.73991,0.5521697429811994
1526328000,TP,0.72694,
1526328000,BUY,0.72694,0.5231291975101515
1526342400,TP,0.73688,
1526385600,BUY,0.71237,0.5524396627450049
1526400000,SL,0.69559,
1526400000,BUY,0.69559,0.546041772263806
1526414400,SL,0.689,
1526414400,BUY,0.689,0.5249626380916228
1526428800,SL,0.6685,
1526428800,BUY,0.6685,0.5534920599714394
1526443200,TP,0.68,
1526472000,BUY,0.6833,0.530775314127511
1526500800,TP,0.70585,
1526500800,SELL,0.70585,0.5305541323992343
1526515200,TP,0.69701,
1526515200,BUY,0.69701,0.5290479382156316
1526529600,SL,0.68998,
1526529600,BUY,0.68998,0.5246583443585271
1526572800,SL,0.67239,
1526572800,BUY,0.67239,0.5483636339942342
1526587200,SL,0.65849,
1526587200,BUY,0.65849,0.5452339927720168
1526616000,TP,0.66845,
1526644800,BUY,0.66148,0.5319470027590907
1526659200,TP,0.67756,
1526702400,BUY,0.66309,0.5344775132350243
1526716800,TP,0.67996,
1526716800,SELL,0.67996,0.522188139541307
1526803200,SL,0.68408,
1526832000,SELL,0.70117,0.5281988194909273
1526889600,TP,0.688,
1526889600,BUY,0.688,0.521768404107687
1526904000,SL,0.67839,
1526976000,BUY,0.664,0.5306978896351059
1527019200,SL,0.63782,
1527019200,BUY,0.63782,0.5664916984980648
1527048000,SL,0.61207,
1527048000,BUY,0.61207,0.587943953706986
1527076800,SL,0.59925,
1527076800,BUY,0.59925,0.5619859238240457
1527091200,TP,0.60775,
1527105600,BUY,0.59198,0.5572234462705965
1527120000,TP,0.60556,
1527134400,BUY,0.60408,0.5219420266518732
1527163200,TP,0.63,
1527163200,SELL,0.63,0.5515935961477157
1527177600,SL,0.63623,
1527192000,BUY,0.62814,0.5235588852037257
1527220800,SL,0.61031,
1527220800,BUY,0.61031,0.5559408529614249
1527264000,SL,0.60207,
1527264000,BUY,0.60207,0.5212133897670657
1527307200,TP,0.61788,
1527307200,SELL,0.61788,0.5289587200595813
1527364800,TP,0.60852,
1527364800,BUY,0.60852,0.5367136529140429
1527379200,SL,0.60299,
1527480000,BUY,0.57877,0.5773374053328142
1527494400,SL,0.56827,
1527494400,BUY,0.56827,0.5478700916338199
1527537600,SL,0.54689,
1527537600,BUY,0.54689,0.5739384255500556
1527552000,TP,0.55659,
1527580800,SELL,0.58999,0.5626596163120356
1527609600,SL,0.60459,
1527609600,SELL,0.60459,0.5202906291129223
1527638400,SL,0.612,
1527638400,SELL,0.612,0.5221033667883335
1527681600,TP,0.59,
1527681600,BUY,0.59,0.5491669696674163
1527710400,TP,0.60149,
1527710400,SELL,0.60149,0.5373943049993894
1527739200,SL,0.61148,
1527739200,SELL,0.61148,0.5428352122721495
1527768000,SL,0.61565,
1527883200,SELL,0.62151,0.529791755495738
1527912000,SL,0.63659,
1527912000,SELL,0.63659,0.5449542815944102
1527926400,SL,0.646,
